product_id,source_store_id,store_name,category,ingredient_key,brand,title,price,size_value,size_unit,unit_price,unit_price_unit,organic,packaging,certifications
prod0234,kaiser,Kaiser Grocery,produce,garlic,Christopher Ranch,"Organic Garlic, Christopher Ranch",5.84,1.0,lb,0.365,oz,True,bulk,USDA Organic
prod0235,kaiser,Kaiser Grocery,produce,garlic,Organic Hardneck Garlic,"Organic Garlic, Organic Hardneck Garlic",9.08,1.0,lb,0.5675,oz,True,bulk,USDA Organic
prod0236,kaiser,Kaiser Grocery,herbs,mint,Kaiser Select,"Mint, Kaiser Select",1.66,1.0,bunch,1.66,ea,False,bulk,
prod0237,kaiser,Kaiser Grocery,herbs,mint,Fresh Herb Co,"Mint, Fresh Herb Co",2.85,0.75,oz,3.8,oz,False,bulk,
prod0238,kaiser,Kaiser Grocery,herbs,mint,Organic Mint,"Organic Mint, Organic Mint",5.0,1.0,bunch,5.0,ea,True,bulk,USDA Organic
prod0239,kaiser,Kaiser Grocery,herbs,cilantro,Kaiser Select,"Cilantro, Kaiser Select",2.07,0.75,oz,2.76,oz,False,bulk,
prod0240,kaiser,Kaiser Grocery,herbs,cilantro,Fresh Herb Co,"Cilantro, Fresh Herb Co",2.44,0.75,oz,3.2533,oz,False,bulk,
prod0241,kaiser,Kaiser Grocery,herbs,cilantro,Organic Cilantro,"Organic Cilantro, Organic Cilantro",5.0,0.75,oz,6.6667,oz,True,bulk,USDA Organic
prod0242,kaiser,Kaiser Grocery,rice,basmati rice,Kaiser Select,"Basmati Rice, Kaiser Select",9.21,5.0,lb,0.1151,oz,False,bulk,
prod0243,kaiser,Kaiser Grocery,rice,basmati rice,Lundberg,"Organic Basmati Rice, Lundberg",10.55,2.0,lb,0.3297,oz,True,bulk,USDA Organic
prod0244,kaiser,Kaiser Grocery,rice,basmati rice,Royal,"Organic Basmati Rice, Royal",11.94,2.0,lb,0.3731,oz,True,bulk,USDA Organic
prod0245,kaiser,Kaiser Grocery,rice,basmati rice,Tilda,"Organic Basmati Rice, Tilda",34.7,5.0,lb,0.4338,oz,True,bulk,USDA Organic
prod0246,kaiser,Kaiser Grocery,oil,ghee,Organic Valley,"Organic Ghee, Organic Valley",9.31,8.0,oz,1.1638,oz,True,glass,USDA Organic
prod0247,kaiser,Kaiser Grocery,oil,ghee,Fourth & Heart,"Organic Ghee, Fourth & Heart",21.54,32.0,oz,0.6731,oz,True,glass,USDA Organic
prod0248,kaiser,Kaiser Grocery,oil,ghee,Ancient Organics,"Organic Ghee, Ancient Organics",44.19,32.0,oz,1.3809,oz,True,glass,USDA Organic
prod0249,kaiser,Kaiser Grocery,spices,garam masala,Simply Organic,"Organic Garam Masala, Simply Organic",7.69,2.0,oz,3.845,oz,True,glass,USDA Organic
prod0250,kaiser,Kaiser Grocery,spices,garam masala,McCormick,"Organic Garam Masala, McCormick",8.34,2.0,oz,4.17,oz,True,glass,USDA Organic
prod0251,kaiser,Kaiser Grocery,spices,garam masala,Diaspora Co,"Organic Garam Masala, Diaspora Co",14.04,2.0,oz,7.02,oz,True,plastic,USDA Organic
prod0252,kaiser,Kaiser Grocery,spices,turmeric,Simply Organic,"Organic Turmeric, Simply Organic",9.02,3.0,oz,3.0067,oz,True,plastic,USDA Organic
prod0253,kaiser,Kaiser Grocery,spices,turmeric,McCormick,"Turmeric, McCormick",11.14,8.0,oz,1.3925,oz,False,plastic,
prod0254,kaiser,Kaiser Grocery,spices,turmeric,Diaspora Co,"Organic Turmeric, Diaspora Co",12.51,3.0,oz,4.17,oz,True,plastic,USDA Organic
prod0255,kaiser,Kaiser Grocery,spices,coriander,McCormick,"Organic Coriander, McCormick",2.97,3.0,oz,0.99,oz,True,glass,USDA Organic
prod0256,kaiser,Kaiser Grocery,spices,coriander,Simply Organic,"Organic Coriander, Simply Organic",14.91,8.0,oz,1.8638,oz,True,plastic,USDA Organic
prod0257,kaiser,Kaiser Grocery,spices,coriander,Diaspora Co,"Organic Coriander, Diaspora Co",4.87,3.0,oz,1.6233,oz,True,glass,USDA Organic
prod0258,kaiser,Kaiser Grocery,spices,cumin,McCormick,"Cumin, McCormick",4.97,3.0,oz,1.6567,oz,False,plastic,
prod0259,kaiser,Kaiser Grocery,spices,cumin,Simply Organic,"Organic Cumin, Simply Organic",15.0,8.0,oz,1.875,oz,True,plastic,USDA Organic
prod0260,kaiser,Kaiser Grocery,spices,cumin,Diaspora Co,"Organic Cumin, Diaspora Co",7.39,3.0,oz,2.4633,oz,True,glass,USDA Organic
prod0261,kaiser,Kaiser Grocery,spices,cardamom,McCormick,"Cardamom, McCormick",14.6,2.0,oz,7.3,oz,False,plastic,
prod0262,kaiser,Kaiser Grocery,spices,cardamom,Simply Organic,"Organic Cardamom, Simply Organic",15.0,8.0,oz,1.875,oz,True,glass,USDA Organic
prod0263,kaiser,Kaiser Grocery,spices,cardamom,Diaspora Co,"Organic Cardamom, Diaspora Co",15.0,2.0,oz,7.5,oz,True,plastic,USDA Organic
prod0264,kaiser,Kaiser Grocery,spices,bay leaves,Simply Organic,"Organic Bay Leaves, Simply Organic",5.48,0.5,oz,10.96,oz,True,plastic,USDA Organic
prod0265,kaiser,Kaiser Grocery,spices,bay leaves,McCormick,"Organic Bay Leaves, McCormick",8.86,1.0,oz,8.86,oz,True,plastic,USDA Organic
prod0266,kaiser,Kaiser Grocery,spices,bay leaves,Diaspora Co,"Organic Bay Leaves, Diaspora Co",6.64,0.5,oz,13.28,oz,True,glass,USDA Organic
