product_id,source_store_id,store_name,category,ingredient_key,brand,title,price,size_value,size_unit,unit_price,unit_price_unit,organic,packaging,certifications
prod0116,shoprite,ShopRite,dairy,yogurt,Straus Organic,"Organic Yogurt, Straus Organic",21.8,32.0,oz,0.6813,oz,True,plastic,USDA Organic
prod0117,shoprite,ShopRite,produce,ginger,Bowl & Basket,"Ginger, Bowl & Basket",1.12,6.0,oz,0.1867,oz,False,bulk,
prod0118,shoprite,ShopRite,produce,ginger,Melissa's,"Organic Ginger, Melissa's",2.33,8.0,oz,0.2913,oz,True,bulk,USDA Organic
prod0119,shoprite,ShopRite,produce,ginger,Organic Ginger Root,"Organic Ginger, Organic Ginger Root",7.26,1.0,lb,0.4537,oz,True,bulk,USDA Organic
prod0120,shoprite,ShopRite,produce,garlic,Bowl & Basket,"Garlic, Bowl & Basket",3.74,3.0,ct,1.2467,ea,False,bulk,
prod0121,shoprite,ShopRite,produce,garlic,Christopher Ranch,"Garlic, Christopher Ranch",4.49,5.0,ct,0.898,ea,False,bulk,
prod0122,shoprite,ShopRite,produce,garlic,Organic Hardneck Garlic,"Organic Garlic, Organic Hardneck Garlic",9.08,1.0,lb,0.5675,oz,True,bulk,USDA Organic
prod0123,shoprite,ShopRite,herbs,mint,Bowl & Basket,"Mint, Bowl & Basket",1.15,1.0,bunch,1.15,ea,False,bulk,
prod0124,shoprite,ShopRite,herbs,mint,Fresh Herb Co,"Organic Mint, Fresh Herb Co",3.68,0.75,oz,4.9067,oz,True,bulk,USDA Organic
prod0125,shoprite,ShopRite,herbs,mint,Organic Mint,"Organic Mint, Organic Mint",3.85,1.0,bunch,3.85,ea,True,bulk,USDA Organic
prod0126,shoprite,ShopRite,herbs,cilantro,Bowl & Basket,"Cilantro, Bowl & Basket",2.04,0.75,oz,2.72,oz,False,bulk,
prod0127,shoprite,ShopRite,herbs,cilantro,Fresh Herb Co,"Cilantro, Fresh Herb Co",2.95,0.75,oz,3.9333,oz,False,bulk,
prod0128,shoprite,ShopRite,herbs,cilantro,Organic Cilantro,"Organic Cilantro, Organic Cilantro",4.57,0.75,oz,6.0933,oz,True,bulk,USDA Organic
prod0129,shoprite,ShopRite,rice,basmati rice,Bowl & Basket,"Basmati Rice, Bowl & Basket",7.99,2.0,lb,0.2497,oz,False,bulk,
prod0130,shoprite,ShopRite,rice,basmati rice,Lundberg,"Basmati Rice, Lundberg",12.47,5.0,lb,0.1559,oz,False,bulk,
prod0131,shoprite,ShopRite,rice,basmati rice,Royal,"Organic Basmati Rice, Royal",11.24,2.0,lb,0.3513,oz,True,bulk,USDA Organic
prod0132,shoprite,ShopRite,rice,basmati rice,Pride of India,"Organic Basmati Rice, Pride of India",50.0,10.0,lb,0.3125,oz,True,bulk,USDA Organic
prod0133,shoprite,ShopRite,oil,ghee,Organic Valley,"Ghee, Organic Valley",31.13,32.0,oz,0.9728,oz,False,glass,
prod0134,shoprite,ShopRite,oil,ghee,Fourth & Heart,"Organic Ghee, Fourth & Heart",22.41,16.0,oz,1.4006,oz,True,glass,USDA Organic
prod0135,shoprite,ShopRite,oil,ghee,Ancient Organics,"Organic Ghee, Ancient Organics",53.14,32.0,oz,1.6606,oz,True,glass,USDA Organic
prod0136,shoprite,ShopRite,spices,garam masala,McCormick,"Organic Garam Masala, McCormick",15.0,8.0,oz,1.875,oz,True,plastic,USDA Organic
prod0137,shoprite,ShopRite,spices,garam masala,Simply Organic,"Organic Garam Masala, Simply Organic",15.0,8.0,oz,1.875,oz,True,plastic,USDA Organic
prod0138,shoprite,ShopRite,spices,garam masala,Diaspora Co,"Organic Garam Masala, Diaspora Co",15.0,8.0,oz,1.875,oz,True,glass,USDA Organic
prod0139,shoprite,ShopRite,spices,turmeric,Simply Organic,"Organic Turmeric, Simply Organic",14.21,8.0,oz,1.7763,oz,True,plastic,USDA Organic
prod0140,shoprite,ShopRite,spices,turmeric,McCormick,"Turmeric, McCormick",9.39,8.0,oz,1.1738,oz,False,plastic,
prod0141,shoprite,ShopRite,spices,turmeric,Diaspora Co,"Organic Turmeric, Diaspora Co",9.51,3.0,oz,3.17,oz,True,plastic,USDA Organic
prod0142,shoprite,ShopRite,spices,coriander,Simply Organic,"Coriander, Simply Organic",6.51,3.0,oz,2.17,oz,False,plastic,
prod0143,shoprite,ShopRite,spices,coriander,McCormick,"Organic Coriander, McCormick",11.77,8.0,oz,1.4712,oz,True,glass,USDA Organic
prod0144,shoprite,ShopRite,spices,coriander,Diaspora Co,"Organic Coriander, Diaspora Co",15.0,8.0,oz,1.875,oz,True,plastic,USDA Organic
prod0145,shoprite,ShopRite,spices,cumin,McCormick,"Organic Cumin, McCormick",3.03,3.0,oz,1.01,oz,True,plastic,USDA Organic
prod0146,shoprite,ShopRite,spices,cumin,Simply Organic,"Cumin, Simply Organic",5.33,3.0,oz,1.7767,oz,False,glass,
prod0147,shoprite,ShopRite,spices,cumin,Diaspora Co,"Organic Cumin, Diaspora Co",15.0,8.0,oz,1.875,oz,True,plastic,USDA Organic
prod0148,shoprite,ShopRite,spices,cardamom,Simply Organic,"Organic Cardamom, Simply Organic",15.0,8.0,oz,1.875,oz,True,plastic,USDA Organic
prod0149,shoprite,ShopRite,spices,cardamom,McCormick,"Cardamom, McCormick",8.55,2.0,oz,4.275,oz,False,glass,
prod0150,shoprite,ShopRite,spices,cardamom,Diaspora Co,"Organic Cardamom, Diaspora Co",15.0,2.0,oz,7.5,oz,True,glass,USDA Organic
prod0151,shoprite,ShopRite,spices,bay leaves,Simply Organic,"Organic Bay Leaves, Simply Organic",3.67,0.5,oz,7.34,oz,True,glass,USDA Organic
prod0152,shoprite,ShopRite,spices,bay leaves,McCormick,"Organic Bay Leaves, McCormick",3.76,1.0,oz,3.76,oz,True,plastic,USDA Organic
prod0153,shoprite,ShopRite,spices,bay leaves,Diaspora Co,"Organic Bay Leaves, Diaspora Co",6.45,0.5,oz,12.9,oz,True,plastic,USDA Organic
