# EWG Shopper's Guide to Pesticides in Produce (2025)
# Source: Environmental Working Group (https://www.ewg.org/foodnews/full-list.php)
# Summary: https://www.ewg.org/foodnews/summary.php
# Version: 2025
# Refresh Schedule: Annual (March/April)
# Trust Level: Research Non-profit - Peer-reviewed methodology
#
# THREE categories (47 items total):
#   - Clean Fifteen (ranks 1-15) - LOWEST residue, conventional OK (~60% no detectable pesticides)
#   - Middle (ranks 16-35) - MODERATE residue, organic beneficial but not critical
#   - Dirty Dozen (ranks 36-47) - HIGHEST residue, organic STRONGLY recommended (96% had pesticides)
#
# Rank: 1 = cleanest, 47 = most contaminated
#
# 2025 Methodology (updated to include toxicity):
#   - Data: 53,692 samples of 47 fruits and vegetables (USDA PDP)
#   - Testing: Produce washed and peeled (as consumers would) before testing
#   - 265 total pesticides and breakdown products identified
#   - Rankings now factor in:
#     1. Number of pesticides detected
#     2. Presence of pesticide residues
#     3. Amount of residue
#     4. Toxicity levels of detected substances
#
# Key findings:
#   - 75%+ of non-organic produce had detectable pesticide residues
#   - 203 pesticides found on Dirty Dozen produce
#   - New 2025 entries: potatoes and blackberries (Dirty Dozen), cauliflower and bananas (Clean Fifteen)
#
# Pesticide Residue Score: 1-100 scale (estimated from rank position)
#
rank,item,list,pesticide_residue_score,organic_recommendation,notes,source_url
32,cucumbers,middle,62,beneficial,Often eaten with skin - moderate residue,https://www.ewg.org/foodnews/full-list.php
33,tangerines,middle,64,beneficial,Peel removed but residue can transfer,https://www.ewg.org/foodnews/full-list.php
34,green beans,middle,66,beneficial,Edible pod with moderate-high residue,https://www.ewg.org/foodnews/green-beans.php
35,bell and hot peppers,middle,68,beneficial,Thin skin absorbs moderate-high residue,https://www.ewg.org/foodnews/bell-and-hot-peppers.php
36,potatoes,dirty_dozen,72,required,Root vegetable absorbs soil pesticides,https://www.ewg.org/foodnews/full-list.php
37,blueberries,dirty_dozen,75,required,Thin skin with high residue,https://www.ewg.org/foodnews/blueberries.php
38,blackberries,dirty_dozen,78,required,Delicate fruit with high pesticide levels,https://www.ewg.org/foodnews/full-list.php
39,apples,dirty_dozen,80,required,Diphenylamine commonly detected,https://www.ewg.org/foodnews/apples.php
40,pears,dirty_dozen,82,required,Multiple pesticide residues common,https://www.ewg.org/foodnews/pears.php
41,nectarines,dirty_dozen,85,required,Thin permeable skin absorbs pesticides,https://www.ewg.org/foodnews/nectarines.php
42,cherries,dirty_dozen,87,required,High fungicide residues,https://www.ewg.org/foodnews/cherries.php
43,peaches,dirty_dozen,89,required,Thin skin absorbs pesticides easily,https://www.ewg.org/foodnews/peaches.php
44,grapes,dirty_dozen,92,required,Imported grapes often have higher residues,https://www.ewg.org/foodnews/grapes.php
45,kale collard and mustard greens,dirty_dozen,95,required,High levels of DCPA and other pesticides,https://www.ewg.org/foodnews/kale-collard-mustard-greens.php
46,strawberries,dirty_dozen,97,required,Over 90% of samples had detectable pesticides,https://www.ewg.org/foodnews/strawberries.php
47,spinach,dirty_dozen,99,required,High levels of permethrin (neurotoxic insecticide),https://www.ewg.org/foodnews/spinach.php
