Brand	Product	Price per lb	Count	Notes
Smart Chicken	Boneless Skinless Chicken Thighs, Air-Chilled, Raised Without Antibiotics	$7.99	each
Smart Chicken	Organic Boneless Skinless Drumsticks, Air-Chilled	$6.99	6ct
LaBelle Patrimoine	Chicken Drumsticks, Pasture-Raised, Heritage, Slow-Grown, Air-Chilled			Sold out
Empire Kosher	Natural Boneless Skinless Chicken Thighs			Sold out
Farmer Focus	Organic Whole Chicken	$4.99
Katie's Best	Whole Chicken, Air-Chilled, Raised w/o Antibiotics	$4.49
LaBelle Patrimoine	Whole Chicken, Pasture-Raised, Heritage, Slow-Grown, Air-Chilled	$5.99
Katie's Best	Cut-Up Whole Chicken, Air-Chilled, Raised w/o Antibiotics	$5.49	8ct
Springer Mountain Farms	Whole Chicken, Raised w/o Antibiotics	$3.49
Empire Kosher	Cut-Up Whole Chicken, Raised w/o Antibiotics	$4.99	8ct
Snowdance Farm	Local Heritage Slow-Growth Chicken, Air-Chilled, Raised w/o Antibiotics	$7.49
Empire Kosher	Broiler Chicken, Raised w/o Antibiotics	$4.99
Smart Chicken	Organic Whole Chicken, Air-Chilled	$6.49
Just FreshDirect	Lemon Herb Spatchcock Chicken, Raised w/o Antibiotics, Uncooked	$6.49
Springer Mountain Farms	Whole Large Roasting Chicken, Raised w/o Antibiotics	$3.99
Just FreshDirect	Peruvian Spatchcock Chicken, Raised w/o Antibiotics, Uncooked	$6.49
Just FreshDirect	Maple Dijon Spatchcock Chicken, Raised w/o Antibiotics, Uncooked	$6.49
Smart Chicken	Party Wings, Air-Chilled, Raised Without Antibiotics	$6.99	each
Smart Chicken	Whole Chicken, Air-Chilled, Raised Without Antibiotics	$3.79	each
	Cornish Game Hens, Grade A, Fresh			Sold out
